iter	RMSE
0	56473.5753
1	55780.15676
2	55060.95995
3	54456.11269
4	53901.14643
5	53334.60624
6	52824.49436
7	52381.42675
8	51841.03643
9	51281.58526
10	50825.38174
11	50477.26098
12	50081.40976
13	49663.63804
14	49334.57827
15	48967.5221
16	48676.40632
17	48359.117
18	48108.66678
19	47853.06394
20	47575.72745
21	47347.95573
22	47094.5044
23	46866.9876
24	46635.76337
25	46412.67429
26	46181.15877
27	46026.26046
28	45840.86102
29	45666.03899
30	45491.55378
31	45325.78383
32	45165.70414
33	45052.96392
34	44929.07897
35	44755.74711
36	44602.26303
37	44470.03644
38	44269.82759
39	44076.26684
40	43994.70536
41	43814.63939
42	43699.00239
43	43616.96032
44	43444.38174
45	43364.44221
46	43215.94157
47	43076.91069
48	43005.29376
49	42963.64033
50	42897.6071
51	42807.60882
52	42747.86472
53	42645.30513
54	42486.86621
55	42388.11112
56	42222.7775
57	42129.76418
58	42026.24499
59	41948.65669
60	41851.19316
61	41793.31825
62	41753.00288
63	41707.64636
64	41675.58375
65	41617.53472
66	41572.92305
67	41491.49038
68	41341.12349
69	41221.35932
70	41182.2626
71	41087.65236
72	40993.73256
73	40914.21766
74	40844.84263
75	40802.54842
76	40753.36843
77	40703.84819
78	40678.02638
79	40599.61961
80	40499.67012
81	40392.954
82	40337.18327
83	40258.46879
84	40234.56715
85	40188.76221
86	40154.45951
87	40120.15374
88	40037.97823
89	40014.28763
90	39938.65852
91	39911.24843
92	39848.93571
93	39821.77924
94	39793.52309
95	39696.92445
96	39674.47738
97	39598.04794
98	39553.76531
99	39506.51374
100	39456.05636
101	39400.06561
102	39362.44205
103	39319.24047
104	39293.69441
105	39277.43428
106	39248.56809
107	39212.51802
108	39168.8685
109	39134.51775
110	39086.14939
111	39062.51946
112	39035.20712
113	38959.53988
114	38916.4851
115	38896.02409
116	38869.0434
117	38832.15156
118	38750.39704
119	38729.19815
120	38706.16857
121	38674.41443
122	38633.46092
123	38614.61266
124	38553.58612
125	38497.72494
126	38460.4428
127	38405.75119
128	38367.77069
129	38349.90296
130	38287.39205
131	38232.96621
132	38216.24028
133	38173.64775
134	38126.77154
135	38083.47777
136	38057.22067
137	38008.57611
138	37952.57584
139	37905.35652
140	37841.72553
141	37784.83767
142	37757.14462
143	37723.72757
144	37708.71269
145	37693.61041
146	37653.64086
147	37607.41535
148	37554.21442
149	37538.95434
150	37474.29806
151	37399.57955
152	37346.62014
153	37309.55142
154	37230.79205
155	37218.128
156	37178.42271
157	37152.86239
158	37116.14508
159	37098.5199
160	37046.90198
161	37034.22617
162	36982.48635
163	36959.18847
164	36912.46585
165	36901.50833
166	36879.72907
167	36818.3994
168	36809.70095
169	36753.50902
170	36699.6528
171	36655.15571
172	36605.5512
173	36579.46259
174	36543.92823
175	36465.69365
176	36414.43464
177	36410.30835
178	36392.72098
179	36307.9197
180	36291.99464
181	36251.95425
182	36181.40554
183	36157.71053
184	36103.29081
185	36065.13823
186	36042.12628
187	36016.41588
188	35987.80067
189	35949.16186
190	35928.73287
191	35917.19183
192	35880.85984
193	35845.63691
194	35831.38732
195	35812.10116
196	35785.70269
197	35769.96344
198	35749.72095
199	35728.41319
200	35702.30049
201	35667.40135
202	35649.41037
203	35618.54266
204	35606.7694
205	35579.86015
206	35574.36412
207	35541.63323
208	35510.97493
209	35498.32732
210	35490.72885
211	35476.75491
212	35429.24612
