iter	Passed	Remaining
0	161	161268
1	162	81311
2	164	54627
3	165	41253
4	167	33245
5	168	27991
6	170	24230
7	174	21672
8	177	19513
9	178	17720
10	180	16213
11	182	15025
12	184	14003
13	187	13172
14	189	12412
15	190	11713
16	191	11090
17	193	10537
18	194	10063
19	196	9619
20	198	9242
21	200	8933
22	202	8622
23	204	8309
24	205	8030
25	207	7767
26	209	7537
27	210	7316
28	212	7123
29	216	6997
30	217	6809
31	219	6631
32	220	6468
33	222	6321
34	223	6173
35	225	6036
36	227	5914
37	230	5838
38	232	5717
39	234	5616
40	235	5511
41	237	5405
42	238	5305
43	240	5216
44	242	5136
45	245	5081
46	246	5005
47	248	4924
48	249	4844
49	251	4770
50	252	4699
51	254	4631
52	255	4572
53	258	4523
54	260	4479
55	262	4419
56	263	4360
57	265	4304
58	266	4251
59	268	4198
60	269	4152
61	271	4114
62	274	4085
63	276	4039
64	278	4000
65	279	3956
66	280	3910
67	282	3873
68	284	3838
69	286	3809
70	289	3790
71	291	3752
72	292	3713
73	293	3678
74	295	3648
75	297	3614
76	299	3585
77	303	3587
78	304	3555
79	306	3521
80	307	3490
81	309	3462
82	310	3431
83	312	3403
84	313	3379
85	319	3400
86	322	3380
87	323	3353
88	324	3325
89	326	3297
90	327	3275
91	329	3255
92	333	3250
93	335	3228
94	336	3204
95	337	3178
96	338	3155
97	340	3133
98	342	3113
99	344	3096
100	346	3088
101	348	3071
102	350	3050
103	351	3030
104	352	3008
105	355	2998
106	357	2980
107	358	2964
108	362	2963
109	363	2944
110	365	2928
111	367	2910
112	368	2893
113	370	2876
114	371	2858
115	373	2849
116	377	2845
117	379	2834
118	380	2819
119	382	2804
120	383	2788
121	385	2771
122	386	2755
123	388	2743
124	391	2740
125	393	2727
126	394	2714
127	396	2700
128	397	2685
129	399	2670
130	400	2655
131	402	2645
132	404	2634
133	406	2626
134	408	2615
135	409	2602
136	411	2589
137	412	2575
138	413	2563
139	415	2550
140	416	2539
141	419	2532
142	421	2528
143	423	2516
144	424	2503
145	425	2491
146	427	2482
147	429	2471
148	430	2460
149	432	2451
150	436	2454
151	438	2444
152	440	2437
153	441	2426
154	442	2414
155	444	2403
156	445	2393
157	447	2385
158	451	2386
159	453	2379
160	454	2369
161	456	2358
162	457	2348
163	458	2337
164	460	2331
165	462	2323
166	465	2322
167	467	2314
168	468	2304
169	469	2294
170	471	2285
171	473	2277
172	474	2267
173	476	2260
174	480	2264
175	482	2259
176	483	2250
177	485	2240
178	486	2232
179	488	2224
180	489	2216
181	491	2209
182	496	2215
183	497	2206
184	498	2197
185	500	2189
186	501	2181
187	503	2175
188	505	2168
189	507	2164
190	509	2159
191	511	2153
192	513	2145
193	514	2137
194	515	2129
195	518	2126
196	520	2120
197	523	2121
198	525	2115
199	526	2107
200	528	2099
201	529	2091
202	531	2084
203	533	2079
204	534	2074
205	537	2073
206	539	2068
207	541	2061
208	542	2054
209	544	2046
210	545	2040
211	548	2037
212	552	2041
213	554	2036
214	555	2029
215	557	2022
216	558	2015
217	560	2010
218	562	2006
219	564	2002
220	566	1998
221	568	1991
222	569	1984
223	570	1977
224	572	1971
225	574	1967
226	576	1963
227	580	1963
228	582	1960
229	583	1954
230	585	1948
231	586	1942
232	588	1936
